name,latitude,longitude
Рудина,42.8456,27.4276
Вишна,42.8938,27.1864
Китка,42.8417,27.1915
Дюля,42.9134,27.1271
Звезда,42.9164,27.0951
Делян,42.762,23.0062
Повалиръж,42.8359,22.8939
Завала,42.8249,22.8012
Мала Раковица,42.7261,23.0604
Ярославци,42.8138,22.8226
Билинци,42.793,22.8169
Пищане,42.8242,22.8642
Гоз,42.7505,22.9382
Муртинци,42.7742,22.833
Брусник,42.8359,22.838
Красава,42.7961,22.8715
Долни Романци,42.7625,22.909
Озърновци,42.8171,22.8853
Гара Петърч,42.8272,23.1263
Пет Кладенци,43.4526,25.8099
Борово,43.489,25.8094
Донковци,42.9207,25.8012
Рожден,42.8671,27.4494
Каменяк,42.8678,27.3014
Варник,41.8672,26.5105
Пашово,41.8275,26.3753
Момино,41.8509,25.7292
Гледка,41.7764,25.6612
Копитник,41.7783,25.2101
Козница,42.8774,27.677
Торбалъжите,42.8598,25.4188
Драганчетата,42.8512,25.4068
Баланите,42.8317,25.3688
Генчовци,42.8296,25.3907
Фърговци,42.8314,25.3831
Богданчовци,42.837,25.3639
Тодоровци,42.8338,25.3483
Становец,43.4957,27.0385
Златирът,42.7398,25.7081
Кория,43.0641,25.2861
Кантара,43.1431,27.8848
Зайчино,41.6977,25.3334
Златни пясъци,43.288,28.0374
Лисово,41.9408,26.3135
Дервишка могила,41.9242,26.3591
Акчелар,43.228,27.9656
Александър Димитров,42.4599,22.9052
Семково,42.0471,23.5259
Дебелцово,43.0991,25.0932
Свети Никола,43.2264,27.9705
Селянин,42.5712,23.7248
Шилковци,42.9265,25.7746
Бръчковци,42.9302,25.8058
Блъсковци,42.9553,25.8541
Вързилковци,42.9279,25.8093
Беглика,41.8155,24.1093
Рекичка,43.0254,26.027
Сборно Място,43.4146,28.141
Белите скали,43.4104,28.1502
Бедрово,41.7424,25.3871
Ветрен,42.0562,22.7705
Джумриите,42.9232,25.3383
Попари,42.9211,25.3405
Бекриите,42.9347,25.2991
Бъзън,43.7369,26.1065
Шарани,42.9234,25.3264
Огражден,43.7843,28.102
Бобовец,43.4407,28.0865
Брястово,43.4574,28.2086
Кремена,43.5526,28.1259
Николчовци,42.8838,25.2391
Пейовци,42.8851,25.2463
Бобевци,42.9422,25.3005
Живко,42.9438,25.2603
Царино,41.3305,25.4345
Гайкини,42.9406,25.303
Иванили,42.9476,25.3042
Влайчовци,42.9492,25.2542
Парчовци,42.9487,25.297
Дъбравица,43.0857,26.1488
Бялково,42.944,25.2786
Малка Черковна,43.0895,26.1824
Спанци,42.9531,25.2927
Старилковци,42.9421,25.338
Солари,42.9413,25.3124
Банковци,42.9305,25.3209
Гръблевци,42.9361,25.3127
Тросково,41.8527,23.0005
Докатичево,41.8832,23.0555
Брестово,41.8292,23.0028
Сухострел,41.8401,22.9709
Дебочица,41.8687,22.9562
Лакарево,42.9312,24.8709
Брестака,42.607,23.9198
Хвърчил,42.6065,23.9296
Разбоище,43.013,22.9563
Лопушня,42.9813,23.062
Върбница,42.9816,23.0316
Саласука,42.9989,25.5291
Кутугерци,42.3129,22.5046
Свирци,42.8223,25.5665
Бойчеви колиби,42.954,25.5912
Белчевци,42.8877,25.622
Пъровци,42.9532,25.5998
Горяни,42.8334,25.5678
Брежниците,42.8049,25.5125
Донкино,42.8092,25.5138
Стражата,42.904,25.5854
Драгневци,42.8116,25.5182
Долни Дамяновци,42.886,25.6057
Леска,42.3119,22.5361
Жеравица,42.8219,24.7406
Пенковци,42.9046,25.1361
Цървена ябълка,42.1651,22.6095
Сажденик,42.1373,22.5721
Длъхчево-Сабляр,42.1657,22.7836
Станинци,43.0523,22.9204
Албена,43.3688,28.0803
Слатина,42.6811,24.5793
Добролево,43.4884,23.7957
Рязковци,42.9115,25.3076
Ветрово,42.9289,25.2947
Седянковци,42.925,25.3003
Свинарски дол,42.927,25.2862
Богдан,42.6425,24.642
Бангейци,42.8501,25.4516
Радино,42.8371,25.4456
Веленци,42.8708,25.4641
Матешовци,42.8688,25.4526
Азманите,42.8339,25.4571
Дончовци,42.8608,25.4487
Кракра,43.4165,27.4782
Каменско,42.9123,26.8048
Падала,42.1435,23.1919
Смоличано,42.1489,22.8005
Първенец,42.4331,26.8476
Остра могила,43.0093,26.39
Савойски,42.1572,22.6418
Хъневци,42.8811,25.9167
Топузи,42.8437,25.9209
Лазарци,42.8855,25.9106
Угорялковци,42.8833,25.9316
Горни Танчевци,42.8373,25.9198
Белеврен,42.0975,27.1763
Баблон,41.4795,24.6998
Рашовите,42.8527,25.4802
Парил,41.4341,23.6813
Рачевци,42.8845,25.2661
Продановци,42.8784,25.2834
Крушолак,43.0399,26.1889
Аксаково,43.2599,27.8218
Варовник,42.2176,27.2351
Сливарово,41.9691,27.6647
Преспа,42.5897,23.9508
Илинден,42.5825,23.9521
Плъзище,42.5805,23.9423
Черковище,42.5997,23.9172
Ралиновци,42.8497,25.9577
Могилите,42.8428,25.4887
Къкрина,43.125,24.8886
Клисура,42.7187,23.0849
Граматици,42.8958,25.9853
Русалина,41.7618,25.2286
Локвата,42.2318,22.9571
Крачимир,43.5838,22.5561
Върба,43.6902,22.6238
Сливовник,43.6765,22.6446
Граничак,43.6409,22.5871
Струиндол,43.674,22.576
Горска,42.8971,26.0085
Томбето,42.9483,26.1255
Лесиче,42.9402,26.1333
Крумчевци,42.9283,26.1137
Валето,42.8761,25.9885
Гоздевица,41.4526,24.6577
Мало Конаре,42.1859,24.426
Драгомирово,42.3949,22.8452
Верско,41.71,25.3393
Енчовци,42.8223,25.4345
Бърдарите,42.8111,25.4388
Маруцековци,42.8149,25.4191
Зеленика,42.8699,25.4734
Кашенци,42.8493,25.4384
Долни Маренци,42.8297,25.4185
Горни Маренци,42.8351,25.4104
Генчовци,42.8796,25.4705
Киселковци,42.8225,25.4406
Горни Радковци,42.8326,25.4239
Долни Радковци,42.8318,25.4288
Кожлювци,42.8609,25.895
Игнатовци,42.8505,25.9651
Христовци,42.905,25.9224
Попска,42.9653,25.999
Високовци,42.8505,25.9614
Стояновци,43.0046,25.9992
Долни Танчевци,42.8914,25.899
Черни дял,42.9683,26.0124
Тънки рът,42.9955,25.9966
Велковци,42.8941,25.9064
Котуци,42.8672,25.9016
Ничовци,42.9001,25.906
Козя река,42.961,26.0467
Дайновци,42.9934,25.9839
Нюшковци,42.899,25.8983
Крилювци,42.8743,25.8928
Буново,42.393,22.7859
Куцово,41.7641,25.2195
Босилица,41.7521,25.2326
Беснурка,41.7587,25.2356
Небеска,41.7734,25.1877
Бяла,43.4652,25.7285
Баева ливада,42.8977,24.9086
Пепелина,43.5844,25.9395
Манчево,41.5411,25.4478
Плешинци,41.5359,25.4696
Каменик,42.2176,23.019
Циклово,42.2059,22.9933
Блато,42.2277,22.9286
Събковци,42.8816,25.9885
Зеленик,42.8458,25.9987
Колари,42.8851,25.9784
Ленско,41.437,25.9637
Малки Воден,41.6699,25.9515
Голяма долина,41.6951,25.8643
Бели дол,41.4103,25.9562
Калайджиево,41.4101,25.7549
Румелия,41.6756,25.7846
Горно поле,41.6587,25.8524
Българене,43.0456,24.7672
Понор,42.924,23.138
Манастирище,42.9944,23.1276
Руйчовци,42.8272,25.2407
Мечковица,42.847,25.2449
Геновци,42.8462,25.2332
Пъртевци,42.8487,25.2434
Моровеците,42.8335,25.2467
Стефаново,42.8684,25.3734
Ясените,42.868,25.3887
Малини,42.8781,25.374
Стойковци,42.865,25.3539
Дедово,41.9937,24.6575
Црешново,42.3205,22.4472
Жеравино,42.3131,22.391
Цървендол,42.2903,22.4835
Бобешино,42.3014,22.4345
Кондолово,42.0936,27.681
